Team Name,Player Name,Over,Under,PTS
Sacramento,Harrison Barnes,-110,-120,13.5
Sacramento,Marvin Bagley III,-105,-125,11.5
Sacramento,Richaun Holmes,-110,-120,10.5
Milwaukee,Khris Middleton,-115,-115,24.5
Milwaukee,Bobby Portis,-105,-125,18.5
Milwaukee,Grayson Allen,-110,-120,12.5
Cleveland,Kevin Love,-125,-105,13.5
Cleveland,Lauri Markkanen,-110,-120,14.5
Cleveland,Jarrett Allen,-115,-115,14.5
Cleveland,Darius Garland,-125,-105,20.5
Cleveland,Isaac Okoro,-105,-125,10.5
Cleveland,Evan Mobley,-105,-125,16.5
Oklahoma City,Shai Gilgeous-Alexander,-115,-115,23.5
Oklahoma City,Luguentz Dort,-110,-120,15.5
Oklahoma City,Josh Giddey,-115,-115,13.5
Oklahoma City,Jeremiah Robinson-Early,-110,-120,7.5
Phoenix,Chris Paul,-115,-115,13.5
Phoenix,Javale McGee,-115,-115,10.5
Phoenix,Jae Crowder,-130,100,9.5
Phoenix,Devin Booker,-105,-125,26.5
Phoenix,Mikal Bridges,-130,100,11.5
Phoenix,Cameron Johnson,-110,-120,11.5
Phoenix,Cameron Payne,-110,-120,11.5